Iteration	MSE
1514	0.030539
1515	0.030534
1516	0.030530
1517	0.030526
1518	0.030522
1519	0.030517
1520	0.030513
1521	0.030509
1522	0.030505
1523	0.030500
1524	0.030496
1525	0.030492
1526	0.030488
1527	0.030483
1528	0.030479
1529	0.030475
1530	0.030470
1531	0.030466
1532	0.030462
1533	0.030458
1534	0.030453
1535	0.030449
1536	0.030445
1537	0.030440
1538	0.030436
1539	0.030432
1540	0.030427
1541	0.030423
1542	0.030419
1543	0.030414
1544	0.030410
1545	0.030406
1546	0.030401
1547	0.030397
1548	0.030393
1549	0.030388
1550	0.030384
1551	0.030379
1552	0.030375
1553	0.030371
1554	0.030366
1555	0.030362
1556	0.030357
1557	0.030353
1558	0.030349
1559	0.030344
1560	0.030340
1561	0.030335
1562	0.030331
1563	0.030327
1564	0.030322
1565	0.030318
1566	0.030313
1567	0.030309
1568	0.030304
1569	0.030300
1570	0.030296
1571	0.030291
1572	0.030287
1573	0.030282
1574	0.030278
1575	0.030273
1576	0.030269
1577	0.030264
1578	0.030260
1579	0.030255
1580	0.030251
1581	0.030246
1582	0.030242
1583	0.030237
1584	0.030233
1585	0.030228
1586	0.030224
1587	0.030219
1588	0.030215
1589	0.030210
1590	0.030206
1591	0.030201
1592	0.030197
1593	0.030192
1594	0.030188
1595	0.030183
1596	0.030179
1597	0.030174
1598	0.030169
1599	0.030165
1600	0.030160
1601	0.030156
1602	0.030151
1603	0.030147
1604	0.030142
1605	0.030137
1606	0.030133
1607	0.030128
1608	0.030124
1609	0.030119
1610	0.030114
1611	0.030110
1612	0.030105
1613	0.030101
1614	0.030096
1615	0.030091
1616	0.030087
1617	0.030082
1618	0.030077
1619	0.030073
1620	0.030068
1621	0.030063
1622	0.030059
1623	0.030054
1624	0.030050
1625	0.030045
1626	0.030040
1627	0.030036
1628	0.030031
1629	0.030026
1630	0.030021
1631	0.030017
1632	0.030012
1633	0.030007
1634	0.030003
1635	0.029998
1636	0.029993
1637	0.029989
1638	0.029984
1639	0.029979
1640	0.029974
1641	0.029970
1642	0.029965
1643	0.029960
1644	0.029956
1645	0.029951
1646	0.029946
1647	0.029941
1648	0.029937
1649	0.029932
1650	0.029927
1651	0.029922
1652	0.029918
1653	0.029913
1654	0.029908
1655	0.029903
1656	0.029898
1657	0.029894
1658	0.029889
1659	0.029884
1660	0.029879
1661	0.029874
1662	0.029870
1663	0.029865
1664	0.029860
1665	0.029855
1666	0.029850
1667	0.029846
1668	0.029841
1669	0.029836
1670	0.029831
1671	0.029826
1672	0.029821
1673	0.029817
1674	0.029812
1675	0.029807
1676	0.029802
1677	0.029797
1678	0.029792
1679	0.029787
1680	0.029783
1681	0.029778
1682	0.029773
1683	0.029768
1684	0.029763
1685	0.029758
1686	0.029753
1687	0.029748
1688	0.029743
1689	0.029738
1690	0.029734
1691	0.029729
1692	0.029724
1693	0.029719
1694	0.029714
1695	0.029709
1696	0.029704
1697	0.029699
1698	0.029694
1699	0.029689
1700	0.029684
1701	0.029679
1702	0.029674
1703	0.029669
1704	0.029664
1705	0.029660
1706	0.029655
1707	0.029650
1708	0.029645
1709	0.029640
1710	0.029635
1711	0.029630
1712	0.029625
1713	0.029620
1714	0.029615
1715	0.029610
1716	0.029605
1717	0.029600
1718	0.029595
1719	0.029590
1720	0.029585
1721	0.029580
1722	0.029575
1723	0.029570
1724	0.029564
1725	0.029559
1726	0.029554
1727	0.029549
1728	0.029544
1729	0.029539
1730	0.029534
1731	0.029529
1732	0.029524
1733	0.029519
1734	0.029514
1735	0.029509
1736	0.029504
1737	0.029499
1738	0.029494
1739	0.029489
1740	0.029483
1741	0.029478
1742	0.029473
1743	0.029468
1744	0.029463
1745	0.029458
1746	0.029453
1747	0.029448
1748	0.029443
1749	0.029438
1750	0.029432
1751	0.029427
1752	0.029422
1753	0.029417
1754	0.029412
1755	0.029407
1756	0.029402
1757	0.029396
1758	0.029391
1759	0.029386
1760	0.029381
1761	0.029376
1762	0.029371
1763	0.029366
1764	0.029360
1765	0.029355
1766	0.029350
1767	0.029345
1768	0.029340
1769	0.029334
1770	0.029329
1771	0.029324
1772	0.029319
1773	0.029314
1774	0.029308
1775	0.029303
1776	0.029298
1777	0.029293
1778	0.029288
1779	0.029282
1780	0.029277
1781	0.029272
1782	0.029267
1783	0.029261
1784	0.029256
1785	0.029251
1786	0.029246
1787	0.029241
1788	0.029235
1789	0.029230
1790	0.029225
1791	0.029220
1792	0.029214
1793	0.029209
1794	0.029204
1795	0.029198
1796	0.029193
1797	0.029188
1798	0.029183
1799	0.029177
1800	0.029172
1801	0.029167
1802	0.029161
1803	0.029156
1804	0.029151
1805	0.029146
1806	0.029140
1807	0.029135
1808	0.029130
1809	0.029124
1810	0.029119
1811	0.029114
1812	0.029108
1813	0.029103
1814	0.029098
1815	0.029092
1816	0.029087
1817	0.029082
1818	0.029076
1819	0.029071
1820	0.029066
1821	0.029060
1822	0.029055
1823	0.029050
1824	0.029044
1825	0.029039
1826	0.029034
1827	0.029028
1828	0.029023
1829	0.029017
1830	0.029012
1831	0.029007
1832	0.029001
1833	0.028996
1834	0.028991
1835	0.028985
1836	0.028980
1837	0.028974
1838	0.028969
1839	0.028964
1840	0.028958
1841	0.028953
1842	0.028947
1843	0.028942
1844	0.028937
1845	0.028931
1846	0.028926
1847	0.028920
1848	0.028915
1849	0.028909
1850	0.028904
1851	0.028899
1852	0.028893
1853	0.028888
1854	0.028882
1855	0.028877
1856	0.028871
1857	0.028866
1858	0.028860
1859	0.028855
1860	0.028850
1861	0.028844
1862	0.028839
1863	0.028833
1864	0.028828
1865	0.028822
1866	0.028817
1867	0.028811
1868	0.028806
1869	0.028800
1870	0.028795
